time,Year,Season,North California (38-42N),Central California (34.5-38N),Southern California (32-34.5N)
1992-10-31,1992,OND,2.2881119333121447,3.4535522943402386,1.3509322935169672
1993-01-31,1993,JFM,3.517018431633543,5.649889830056761,2.7732805449342357
1993-04-30,1993,AMJ,8.400240365896643,5.018218224323047,3.6703438464164986
1993-07-31,1993,JAS,-1.4034184533244196,1.1372799959597713,0.4484938789004635
1993-10-31,1993,OND,0.8433041306269848,1.7876944821533185,0.3612741017893821
1994-01-31,1994,JFM,0.6836287843145141,0.7985085146275582,0.34084191017573556
1994-04-30,1994,AMJ,-0.6614954513090752,-1.6130432270060875,-0.7478639573901209
1994-07-31,1994,JAS,-2.010140113487609,-3.563500221861557,-0.3560152324067159
1994-10-31,1994,OND,-2.865244569354248,-2.6766293873691356,-0.0017705250054101456
1995-01-31,1995,JFM,6.516489718105704,6.997359805621981,2.003108195030051
1995-04-30,1995,AMJ,0.7392485435557941,0.8578119443711889,-1.3759401871105426
1995-07-31,1995,JAS,2.3853983215295713,-0.15719124172646892,-0.4190688943553778
1995-10-31,1995,OND,0.7887816216583613,-0.7949788002620208,-0.1540962042100922
1996-01-31,1996,JFM,2.8988889032739937,2.3994395983347294,-0.2599662585005685
1996-04-30,1996,AMJ,-0.5459222416225549,-0.17947744914367866,0.3407346676189498
1996-07-31,1996,JAS,-2.201878376147596,-2.8906576642443707,-1.1992721996281297
1996-10-31,1996,OND,0.48317908553553574,-0.8806597218504193,-0.5184318201137319
1997-01-31,1997,JFM,-1.7703566250708898,-2.4660912336793066,-0.5789340231016096
1997-04-30,1997,AMJ,4.059845650140269,2.6332485285519533,4.206459916682883
1997-07-31,1997,JAS,7.099340300217906,5.738352430129626,4.619653581217538
1997-10-31,1997,OND,7.589815404586073,9.822906947249905,5.371617167045003
1998-01-31,1998,JFM,9.814074196160677,9.393965287436632,5.225791217795436
1998-04-30,1998,AMJ,4.525529605894487,5.862016962173536,0.7923848164238063
1998-07-31,1998,JAS,-1.5718117198301809,0.48642416171773395,0.3185292865817635
1998-10-31,1998,OND,-3.1881383807829904,-6.248011588771514,-3.0118144509068903
1999-01-31,1999,JFM,-2.284604069004011,-5.172917656020435,-3.6258718036169135
1999-04-30,1999,AMJ,-7.695978436433731,-8.0580075750842,-3.9978996157993287
1999-07-31,1999,JAS,-2.7699667359149687,-4.268118061631511,-3.75681917441934
1999-10-31,1999,OND,-4.763183687818516,-5.343215350848368,-3.4836989703026044
2000-01-31,2000,JFM,-0.4522650010504979,-1.2971468854412977,-2.5765966655964285
2000-04-30,2000,AMJ,1.1593036675661754,0.698450650312855,-0.1290962840718349
2000-07-31,2000,JAS,-3.707276873384518,-3.270588653722989,-1.4133381797889684
2000-10-31,2000,OND,-3.4017375058202175,-3.9376620343434223,-1.926698896593112
2001-01-31,2001,JFM,-1.7441152748945086,-1.2098452319911155,-1.5520431287921055
2001-04-30,2001,AMJ,-4.773768228469503,-2.8683819032992797,-1.571607125947307
2001-07-31,2001,JAS,-4.040313213690891,-3.859273088123433,-2.27506353312185
2001-10-31,2001,OND,-0.8102274792218478,-1.8367882575893937,-1.1131262570576748
2002-01-31,2002,JFM,-2.93534934339378,-5.02520478193576,-2.038809106927564
2002-04-30,2002,AMJ,-4.811550878140949,-4.209757330399795,-2.3156496779740596
2002-07-31,2002,JAS,-2.2111495231669562,-2.574292835960407,-1.2479083167469052
2002-10-31,2002,OND,4.09805024277075,1.9759683170065658,1.1886854379493148
2003-01-31,2003,JFM,2.3224491038539257,1.4200840095534957,1.8727094211639455
2003-04-30,2003,AMJ,1.8750329206767504,1.232837607266649,-1.4096183567366356
2003-07-31,2003,JAS,-0.8170618280896655,-0.14883637975196967,-0.783724646863468
2003-10-31,2003,OND,1.9007287886606594,0.11398791511026331,0.6957332094327017
2004-01-31,2004,JFM,0.38632792602427135,-0.5801982087169277,0.06500498600503213
2004-04-30,2004,AMJ,1.0127887120420824,-0.9149255777942569,0.8696504686945914
2004-07-31,2004,JAS,1.707826094072414,0.931564382428253,0.6064585539433212
2004-10-31,2004,OND,-0.10468020234747737,1.5662254189612725,0.6569615331524308
2005-01-31,2005,JFM,3.871321372191004,6.176881245576448,2.922765789017449
2005-04-30,2005,AMJ,5.384080894994579,2.955140635666899,1.001449467978708
2005-07-31,2005,JAS,-1.5706358945227126,-1.1963815755107314,-1.0638802647027543
2005-10-31,2005,OND,0.04208914808402018,-1.8751111079242888,-1.317568046107294
2006-01-31,2006,JFM,1.3806073695250614,-0.5284670142201261,-2.177770186426099
2006-04-30,2006,AMJ,3.7810203476979294,5.387754651028887,1.1647746928042795
2006-07-31,2006,JAS,-1.9109639572287966,0.13252737385817376,1.31330396803312
2006-10-31,2006,OND,-0.4336630102762053,-0.835956322292319,0.22899737691593233
2007-01-31,2007,JFM,-5.105264112372626,-5.705501379028216,-1.9917503250369293
2007-04-30,2007,AMJ,-3.9009839860808606,-5.010084551831964,-2.549320708273713
2007-07-31,2007,JAS,1.394068590654508,-0.9486773410897389,-0.2651681756028464
2007-10-31,2007,OND,-4.709302934429535,-6.175189174158204,-2.7689858910145384
2008-01-31,2008,JFM,-5.344619470569084,-5.777414570581568,-3.039309386190204
2008-04-30,2008,AMJ,-6.391864772504694,-6.925799600315756,-1.3208786668917964
2008-07-31,2008,JAS,0.5108821802261897,0.8361378121648101,1.0141508319167691
2008-10-31,2008,OND,-3.387097213626318,-2.7401681798157087,-1.5680730272995254
2009-01-31,2009,JFM,-2.7522914522127686,-2.8455533977669436,-2.2445466782403893
2009-04-30,2009,AMJ,-1.5293661818880362,-0.3965815701421191,-0.5195107207990609
2009-07-31,2009,JAS,-0.33973687875888514,-1.6176602781396592,0.06550760675737656
2009-10-31,2009,OND,0.4734264578077597,-0.549827455402006,2.104147007553856
2010-01-31,2010,JFM,5.621212623564496,4.416724636455036,3.061660429750704
2010-04-30,2010,AMJ,-0.8646061180712403,-2.7102328488329945,-1.7720046171137647
2010-07-31,2010,JAS,-2.9527523838303797,-4.438215705660212,-4.690159233494004
2010-10-31,2010,OND,-0.4675178054479086,-2.515370820159838,-2.5124557109307344
2011-01-31,2011,JFM,-2.145132976419231,-2.7364145517141534,-2.6811853829019006
2011-04-30,2011,AMJ,-1.9868121838975228,-2.1768162547942507,-1.887554136896656
2011-07-31,2011,JAS,-0.4641632497330957,-0.6185166428026485,-1.7812456428009948
2011-10-31,2011,OND,-4.694094056852947,-3.332678736430305,-2.9222991090582537
2012-01-31,2012,JFM,-3.790510840526457,-4.98325535854732,-2.1712610078771966
2012-04-30,2012,AMJ,-1.2817807377150183,-3.8943358163346877,-1.9944214631560202
2012-07-31,2012,JAS,-3.73260957409035,-4.222528222732814,-0.5406914491993303
2012-10-31,2012,OND,3.0090131433756007,2.4246694944078695,0.4315078029610412
2013-01-31,2013,JFM,-7.378889193538945,-7.206665328609229,-2.9663739090530012
2013-04-30,2013,AMJ,-3.5414032287482295,-2.2736117169993904,-0.4649388213920568
2013-07-31,2013,JAS,0.5683976240698774,-0.42327339367107686,-1.2890045067411258
2013-10-31,2013,OND,-6.866634794898365,-2.989724370130088,-0.11216300438270334
2014-01-31,2014,JFM,-0.9907272153689057,1.1838079428699693,1.5339438407883152
2014-04-30,2014,AMJ,0.2155822198639363,2.445745121182363,2.5776004274443456
2014-07-31,2014,JAS,6.8541216386057435,8.438711070363663,3.4467236636402174
2014-10-31,2014,OND,9.158867110214054,8.939327495642644,3.370207148243795
2015-01-31,2015,JFM,2.834533868482154,5.255510300262246,4.091472209710766
2015-04-30,2015,AMJ,2.3685938599520706,5.068285470233208,3.6396417876265437
2015-07-31,2015,JAS,8.460191753241475,11.0012425371792,3.5901391735385464
2015-10-31,2015,OND,4.318803949060653,5.589465565884291,3.378143478322632
2016-01-31,2016,JFM,5.63283306792643,4.204913082268034,3.45356518109066
2016-04-30,2016,AMJ,2.9106433731403674,4.016644297879573,2.169002196208371
2016-07-31,2016,JAS,-1.9993389370814232,-1.0387322554482534,1.585972730775278
2016-10-31,2016,OND,3.979413768746544,1.5985629601565028,0.7762607898232499
2017-01-31,2017,JFM,2.8989416916937714,3.033562604993879,0.9335875189864368
2017-04-30,2017,AMJ,2.185458350466939,2.2085494231446625,1.4571310800283863
2017-07-31,2017,JAS,1.9604892139928018,3.452149816023688,0.9998937759678379
2017-10-31,2017,OND,-1.4569630228903403,1.0746911347696582,0.42198648188643073
2018-01-31,2018,JFM,-1.4783849184376676,0.04358378680876813,0.4510960325003455
2018-04-30,2018,AMJ,-0.029044481367076436,0.34019254798779197,-0.6636466041495087
2018-07-31,2018,JAS,-0.6742817469483768,-0.0029921639143679858,2.2225451284321522
2018-10-31,2018,OND,1.2014906013112903,4.320234023543717,1.9327875648299093
2019-01-31,2019,JFM,3.3984652080748914,5.2530204886010585,1.6090361603331358
2019-04-30,2019,AMJ,3.4756657914529057,7.30384745544517,1.0416122488559483
2019-07-31,2019,JAS,1.5290441154302836,1.1492102601514649,0.8917311386376278
2019-10-31,2019,OND,1.1041289399478231,3.250495293639274,2.2027351305451686
2020-01-31,2020,JFM,-3.569526956223504,-1.572653132082949,0.7797354895787906
2020-04-30,2020,AMJ,2.1226189876957875,3.3970656014103504,1.1597722187176251
2020-07-31,2020,JAS,0.900879234322699,0.44290985971651,0.4220387838155982
2020-10-31,2020,OND,-4.098017347982515,-2.9197675828271246,-1.272401745194413
2021-01-31,2021,JFM,-4.1190764363636125,-5.009783491164554,-2.011060683310028
2021-04-30,2021,AMJ,-2.9197419541123573,-2.7012625975807576,-0.3602907497368745
2021-07-31,2021,JAS,-1.4812857719106798,0.7847386116296627,-0.7439354600513988
2021-10-31,2021,OND,-0.032702313948821886,-0.26604245269135984,-1.7883928657908386
2022-01-31,2022,JFM,-5.915678379377945,-4.1101389119667,-1.202120381290105
2022-04-30,2022,AMJ,-3.2813344106758726,-5.493491101418922,-1.0103161420616587
2022-07-31,2022,JAS,2.488146164778037,0.7081874146696432,0.28015280776560175
